id,results_title,results_first_aired,results_imdb_id,results_tvdb,results_themoviedb,results_artwork_208x117,results_artwork_304x171,results_artwork_448x252,results_artwork_608x342,bingeRank,createdAt,updatedAt
1,"Money Heist","2017-05-02 00:00:00",tt6468322,327417,71446,http://static-api.guidebox.com/100117/thumbnails_small/46746-6880046143-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/46746-1168151978-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/46746-4939356758-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/46746-5881144288-608x342.jpg,NULL,NULL,NULL
2,Ozark,"2017-07-21 00:00:00",tt5071412,329089,69740,http://static-api.guidebox.com/091716/thumbnails_small/44356-5173691581-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/44356-2974686995-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_large/44356-132369278-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/44356-3609818295-608x342-show-thumbnail.jpg,NULL,NULL,NULL
3,Westworld,"2016-10-02 00:00:00",tt0475784,296762,63247,http://static-api.guidebox.com/091716/thumbnails_small/38948-4959284808-208x117.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/38948-5728639164-304x171.jpg,http://static-api.guidebox.com/091716/thumbnails_large/38948-1003983417-448x252.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/38948-7817636546-608x342.jpg,NULL,NULL,NULL
4,Community,"2009-09-17 00:00:00",tt1439629,94571,18347,http://static-api.guidebox.com/thumbnails_small/207-7147074262-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/207-4731318769-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/207-4609058839-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/207-2327306979-608x342.jpg,NULL,NULL,NULL
5,"Better Call Saul","2015-02-08 00:00:00",tt3032476,273181,60059,http://static-api.guidebox.com/120214/thumbnails_small/22655-1016230574-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/120214/thumbnails_medium/22655-1183881932-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/120214/thumbnails_large/22655-9073080597-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/120214/thumbnails_xlarge/22655-7056442871-608x342-show-thumbnail.jpg,NULL,NULL,NULL
6,"The Walking Dead","2010-10-31 00:00:00",tt1520211,153021,1402,http://static-api.guidebox.com/091414/thumbnails_small/703-3422100935-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/703-3368183603-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/703-4248968759-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/703-7681273194-608x342-show-thumbnail.jpg,NULL,NULL,NULL
7,"Game of Thrones","2011-04-17 00:00:00",tt0944947,121361,1399,http://static-api.guidebox.com/060515/thumbnails_small/6959-7755267811-208x117.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/6959-8255587010-304x171.jpg,http://static-api.guidebox.com/060515/thumbnails_large/6959-7500693383-448x252.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/6959-423900909-608x342.jpg,NULL,NULL,NULL
8,"Breaking Bad","2008-01-20 00:00:00",tt0903747,81189,1396,http://static-api.guidebox.com/091414/thumbnails_small/8523-2963484465-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/8523-1669006613-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/8523-2515840503-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/8523-4005061374-608x342-show-thumbnail.jpg,NULL,NULL,NULL
9,Homeland,"2011-10-02 00:00:00",tt1796960,247897,1407,http://static-api.guidebox.com/091414/thumbnails_small/2625-6650184672-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/2625-8041045526-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/2625-4471222516-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/2625-5774650769-608x342-show-thumbnail.jpg,NULL,NULL,NULL
10,"Killing Eve","2018-04-08 00:00:00",tt7016936,340959,72750,http://static-api.guidebox.com/100117/thumbnails_small/48100-2111485722-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/48100-8042616886-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/48100-2575502377-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/48100-4906501928-608x342.jpg,NULL,NULL,NULL
11,"Grey's Anatomy","2005-03-27 00:00:00",tt0413573,73762,1416,http://static-api.guidebox.com/060515/thumbnails_small/159-7053659996-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/159-4406540240-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_large/159-5811973219-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/159-6648975853-608x342-show-thumbnail.jpg,NULL,NULL,NULL
12,"The Office","2005-03-24 00:00:00",tt0386676,73244,2316,http://static-api.guidebox.com/thumbnails_small/205-5041042548-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/205-794024850-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/205-8452868517-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/205-657829540-608x342.jpg,NULL,NULL,NULL
13,"Peaky Blinders","2013-09-12 00:00:00",tt2442560,270915,60574,http://static-api.guidebox.com/091414/thumbnails_small/21769-1195113524-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/21769-1152008316-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/21769-6679339749-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/21769-2176648253-608x342-show-thumbnail.jpg,NULL,NULL,NULL
14,"Outer Banks","2020-04-15 00:00:00",tt10293938,379169,0,http://static-api.guidebox.com/100117/thumbnails_small/61176-4086795775-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/61176-3067339333-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/61176-678711110-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/61176-4998031482-608x342.jpg,NULL,NULL,NULL
15,Outlander,"2014-08-09 00:00:00",tt3006802,270408,56570,http://static-api.guidebox.com/091414/thumbnails_small/19447-4208391151-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/19447-7960235886-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/19447-1904469529-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/19447-458304040-608x342-show-thumbnail.jpg,NULL,NULL,NULL
16,Vikings,"2013-03-03 00:00:00",tt2306299,260449,44217,http://static-api.guidebox.com/120214/thumbnails_small/14554-3064087210-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/120214/thumbnails_medium/14554-6577064837-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/120214/thumbnails_large/14554-6113301255-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/120214/thumbnails_xlarge/14554-1164331185-608x342-show-thumbnail.jpg,NULL,NULL,NULL
17,"The Mandalorian","2019-11-12 00:00:00",tt8111088,361753,82856,http://static-api.guidebox.com/100117/thumbnails_small/58014-9476827811-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/58014-7450016108-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/58014-1012562-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/58014-1741379635-608x342.jpg,NULL,NULL,NULL
18,"Schitt's Creek","2015-01-13 00:00:00",tt3526078,287247,61662,http://static-api.guidebox.com/060515/thumbnails_small/25121-9886255864-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/25121-157839093-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_large/25121-3628174057-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/25121-8007665397-608x342-show-thumbnail.jpg,NULL,NULL,NULL
19,"Brooklyn Nine-Nine","2013-09-17 00:00:00",tt2467372,269586,48891,http://static-api.guidebox.com/091414/thumbnails_small/15915-794740916-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/15915-8638546271-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/15915-9793838439-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/15915-4345891029-608x342-show-thumbnail.jpg,NULL,NULL,NULL
20,"The Blacklist","2013-09-23 00:00:00",tt2741602,266189,46952,http://static-api.guidebox.com/thumbnails_small/15801-4558103019-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/15801-51472541-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/15801-3543147021-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/15801-2756475806-608x342.jpg,NULL,NULL,NULL
21,Supernatural,"2005-09-13 00:00:00",tt0460681,78901,1622,http://static-api.guidebox.com/060515/thumbnails_small/134-9455498186-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/134-3621342373-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_large/134-9313713549-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/134-8590047601-608x342-show-thumbnail.jpg,NULL,NULL,NULL
22,"Stranger Things","2016-07-15 00:00:00",tt4574334,305288,66732,http://static-api.guidebox.com/111615/thumbnails_small/37760-1674682359-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_medium/37760-5441134823-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_large/37760-8750890046-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_xlarge/37760-6112872101-608x342-show-thumbnail.jpg,NULL,NULL,NULL
23,Friends,"1994-09-22 00:00:00",tt0108778,79168,1668,http://static-api.guidebox.com/thumbnails_small/1737-3749269745-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/1737-448432537-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/1737-8061207928-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/1737-2397346851-608x342.jpg,NULL,NULL,NULL
24,"Star Wars: The Clone Wars","2008-10-03 00:00:00",tt0458290,83268,4194,http://static-api.guidebox.com/091414/thumbnails_small/9266-3900497183-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/9266-1884860457-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/9266-2026992380-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/9266-4284078446-608x342-show-thumbnail.jpg,NULL,NULL,NULL
25,Run,"2020-04-13 00:00:00",tt8045468,353882,0,http://static-api.guidebox.com/100117/thumbnails_small/60421-1887914362-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/60421-2958746753-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/60421-9468294708-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/60421-7709540622-608x342.jpg,NULL,NULL,NULL
26,Lucifer,"2015-05-11 00:00:00",tt4052886,295685,63174,http://static-api.guidebox.com/111615/thumbnails_small/29153-4417948038-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_medium/29153-8830865477-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_large/29153-6952385939-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_xlarge/29153-7112944838-608x342-show-thumbnail.jpg,NULL,NULL,NULL
27,"Criminal Minds","2005-09-22 00:00:00",tt0452046,75710,4057,http://static-api.guidebox.com/thumbnails_small/954-433686069-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/954-2798844739-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/954-2075714795-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/954-9512778604-608x342.jpg,NULL,NULL,NULL
28,"Black Mirror","2011-12-04 00:00:00",tt2085059,253463,42009,http://static-api.guidebox.com/060515/thumbnails_small/25662-3944110372-208x117.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/25662-1403832534-304x171.jpg,http://static-api.guidebox.com/060515/thumbnails_large/25662-1440050262-448x252.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/25662-2100634184-608x342.jpg,NULL,NULL,NULL
29,"The Wire","2002-06-02 00:00:00",tt0306414,79126,1438,http://static-api.guidebox.com/thumbnails_small/7135-9287152509-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/7135-7920276271-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/7135-5214426494-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/7135-9837593720-608x342.jpg,NULL,NULL,NULL
30,Dark,"2017-12-01 00:00:00",tt5753856,334824,70523,http://static-api.guidebox.com/100117/thumbnails_small/46324-6017031269-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/46324-4938863260-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/46324-9218766084-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/46324-6231676745-608x342.jpg,NULL,NULL,NULL
31,Bosch,"2015-02-13 00:00:00",tt3502248,277928,60585,http://static-api.guidebox.com/022615/thumbnails_small/19367-6216263687-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/022615/thumbnails_medium/19367-8667029398-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/022615/thumbnails_large/19367-7142098904-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/022615/thumbnails_xlarge/19367-862685997-608x342-show-thumbnail.jpg,NULL,NULL,NULL
32,"The Sopranos","1999-01-10 00:00:00",tt0141842,75299,1398,http://static-api.guidebox.com/thumbnails_small/6969-3911711364-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/6969-5320722591-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/6969-8300557150-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/6969-7340823789-608x342.jpg,NULL,NULL,NULL
33,"Prison Break","2005-08-29 00:00:00",tt0455275,75340,2288,http://static-api.guidebox.com/thumbnails_small/369-7367410473-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/369-9512770478-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/369-8176394603-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/369-751368963-608x342.jpg,NULL,NULL,NULL
34,"What We Do in the Shadows","2019-01-09 00:00:00",tt7908628,358211,83631,http://static-api.guidebox.com/100117/thumbnails_small/52808-1561274655-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/52808-5562995258-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/52808-1121957056-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/52808-517362967-608x342.jpg,NULL,NULL,NULL
35,"The Witcher","2019-12-20 00:00:00",tt5180504,362696,71912,http://static-api.guidebox.com/100117/thumbnails_small/58446-7671194481-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/58446-6631737579-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/58446-4631281160-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/58446-1374082039-608x342.jpg,NULL,NULL,NULL
36,Fargo,"2014-04-15 00:00:00",tt2802850,269613,60622,http://static-api.guidebox.com/060515/thumbnails_small/18323-6017890805-208x117.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/18323-244092192-304x171.jpg,http://static-api.guidebox.com/060515/thumbnails_large/18323-7032228005-448x252.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/18323-6035642046-608x342.jpg,NULL,NULL,NULL
37,"Modern Family","2009-09-23 00:00:00",tt1442437,95011,1421,http://static-api.guidebox.com/091414/thumbnails_small/169-8675502138-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/169-1176669537-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/169-9427111153-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/169-6227865671-608x342-show-thumbnail.jpg,NULL,NULL,NULL
38,NCIS,"2003-09-23 00:00:00",tt0364845,72108,4614,http://static-api.guidebox.com/thumbnails_small/965-3065823857-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/965-5408978434-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/965-3464008020-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/965-560015906-608x342.jpg,NULL,NULL,NULL
39,Riverdale,"2017-01-26 00:00:00",tt5420376,311954,69050,http://static-api.guidebox.com/091716/thumbnails_small/41148-7488881922-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/41148-1596480208-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_large/41148-1996065905-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/41148-4520784849-608x342-show-thumbnail.jpg,NULL,NULL,NULL
40,"World War Zero","2017-02-23 00:00:00",tt7134908,0,76669,http://static-api.guidebox.com/100117/thumbnails_small/48827-6407637037-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/48827-5299809058-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/48827-4070429145-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/48827-7618919681-608x342.jpg,NULL,NULL,NULL
41,"Sex Education","2019-01-11 00:00:00",tt7767422,356317,81356,http://static-api.guidebox.com/100117/thumbnails_small/53919-7495025364-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/53919-3988033589-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/53919-1456440976-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/53919-7394214561-608x342.jpg,NULL,NULL,NULL
42,"Law & Order: Special Victims Unit","1999-09-20 00:00:00",tt0203259,75692,2734,http://static-api.guidebox.com/thumbnails_small/307-5936161275-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/307-9533812892-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/307-9753355067-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/307-8820663467-608x342.jpg,NULL,NULL,NULL
43,"The Handmaid's Tale","2016-10-07 00:00:00",tt5834204,321239,69478,http://static-api.guidebox.com/091716/thumbnails_small/39078-1389068123-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/39078-4779830189-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_large/39078-4703563494-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/39078-5149085834-608x342-show-thumbnail.jpg,NULL,NULL,NULL
44,"Mad Men","2007-07-19 00:00:00",tt0804503,80337,1104,http://static-api.guidebox.com/091414/thumbnails_small/8521-4827649505-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/8521-3962153928-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/8521-9480953039-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/8521-8744411319-608x342-show-thumbnail.jpg,NULL,NULL,NULL
45,Shameless,"2011-01-09 00:00:00",tt1586680,161511,34307,http://static-api.guidebox.com/thumbnails_small/2627-9598196931-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/2627-4895202052-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/2627-6214707-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/2627-5698745260-608x342.jpg,NULL,NULL,NULL
46,Suits,"2011-06-23 00:00:00",tt1632701,247808,37680,http://static-api.guidebox.com/091414/thumbnails_small/300-4352846579-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/300-2030188479-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/300-9888987527-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/300-9276088145-608x342-show-thumbnail.jpg,NULL,NULL,NULL
47,"How to Get Away With Murder","2014-09-25 00:00:00",tt3205802,281620,61056,http://static-api.guidebox.com/120214/thumbnails_small/20702-1802725364-208x117.jpg,http://static-api.guidebox.com/120214/thumbnails_medium/20702-4250482326-304x171.jpg,http://static-api.guidebox.com/120214/thumbnails_large/20702-9136077924-448x252.jpg,http://static-api.guidebox.com/120214/thumbnails_xlarge/20702-8256437755-608x342.jpg,NULL,NULL,NULL
48,"The Last Kingdom","2015-07-30 00:00:00",tt4179452,298566,63333,http://static-api.guidebox.com/060515/thumbnails_small/32666-2328738300-208x117.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/32666-8626148314-304x171.jpg,http://static-api.guidebox.com/060515/thumbnails_large/32666-4462559121-448x252.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/32666-6527719642-608x342.jpg,NULL,NULL,NULL
49,Hunters,"2020-02-21 00:00:00",tt7456722,372081,0,http://static-api.guidebox.com/100117/thumbnails_small/57884-7132083429-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/57884-742324978-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/57884-2572981757-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/57884-4372686688-608x342.jpg,NULL,NULL,NULL
50,"The 100","2014-03-19 00:00:00",tt2661044,268592,48866,http://static-api.guidebox.com/091414/thumbnails_small/15817-3286543442-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/15817-3398139919-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/15817-5828464203-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/15817-874794033-608x342-show-thumbnail.jpg,NULL,NULL,NULL
